id,user,contest,place
1,1,1,1
2,1,3,99
3,1,24,41
4,1,29,37
5,1,31,29
6,1,39,179
7,1,41,1
8,1,47,20
9,1,49,13
10,1,55,4
11,1,66,12
12,2,1,2
13,2,170,1
14,2,171,69
15,2,179,96
16,3,1,3
17,3,49,52
18,4,1,4
19,4,2,21
20,4,9,70
21,4,27,76
22,4,66,23
23,4,70,41
24,4,89,38
25,5,1,5
26,5,3,150
27,5,5,43
28,5,9,72
29,5,14,5
30,5,17,34
31,5,20,10
32,5,23,8
33,5,24,16
34,5,27,10
35,5,29,43
36,5,31,38
37,5,33,80
38,5,39,26
39,5,43,17
40,5,47,84
41,5,49,7
42,5,51,3
43,5,53,9
44,5,55,5
45,5,58,6
46,5,62,16
47,5,66,11
48,5,68,180
49,5,75,6
50,5,77,20
51,5,83,26
52,5,85,8
53,5,89,4
54,5,90,19
55,5,92,10
56,5,94,73
57,5,97,2
58,5,99,22
59,5,101,9
60,5,103,5
61,5,105,9
62,5,107,26
63,5,114,92
64,5,124,58
65,5,129,10
66,5,131,138
67,5,136,12
68,5,138,31
69,5,144,34
70,5,146,5
71,5,149,7
72,5,150,1
73,5,152,7
74,5,157,13
75,5,159,24
76,5,161,38
77,5,163,3
78,5,165,1
79,5,166,1
80,5,167,14
81,5,171,11
82,5,179,20
83,5,181,7
84,5,190,15
85,5,193,3
86,5,197,73
87,5,200,2
88,6,1,6
89,6,9,197
90,6,17,181
91,6,39,38
92,6,41,159
93,6,42,88
94,6,43,45
95,6,62,55
96,6,83,120
97,6,90,153
98,6,97,148
99,6,99,108
100,6,101,129
101,6,105,57
102,6,122,16
103,6,124,142
104,6,136,37
105,6,161,73
106,6,167,141
107,6,193,166
108,6,197,74
109,7,1,7
110,7,2,113
111,7,3,144
112,7,9,9
113,7,14,14
114,7,17,76
115,7,20,2
116,7,23,67
117,7,24,30
118,7,31,88
119,7,39,76
120,7,41,187
121,7,49,67
122,7,55,89
123,7,58,125
124,7,62,34
125,7,66,29
126,7,68,178
127,7,70,75
128,7,75,14
129,7,77,29
130,7,83,194
131,7,85,44
132,7,89,45
133,7,90,10
134,7,92,87
135,7,97,46
136,7,99,23
137,7,101,24
138,7,103,98
139,7,105,13
140,7,107,45
141,7,112,29
142,7,117,161
143,7,122,111
144,7,129,32
145,7,136,132
146,7,143,8
147,7,152,51
148,7,155,59
149,7,157,33
150,7,159,188
151,7,161,8
152,7,163,4
153,7,167,154
154,7,171,33
155,7,179,55
156,7,181,32
157,7,191,29
158,7,197,99
159,7,200,38
160,8,1,8
