id,contest,number
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,3,1
9,3,2
10,3,3
11,3,4
12,3,5
13,3,6
14,24,1
15,24,2
16,24,3
17,24,4
18,24,5
19,24,6
20,24,7
21,24,8
22,29,1
23,29,2
24,29,3
25,29,4
26,29,5
27,29,6
28,29,7
29,29,8
30,31,1
31,31,2
32,31,3
33,31,4
34,31,5
35,39,1
36,39,2
37,39,3
38,39,4
39,39,5
40,39,6
41,41,1
42,41,2
43,41,3
44,41,4
45,41,5
46,41,6
47,47,1
48,47,2
49,47,3
50,47,4
51,47,5
52,47,6
53,47,7
54,49,1
55,49,2
56,49,3
57,49,4
58,49,5
59,49,6
60,49,7
61,55,1
62,55,2
63,55,3
64,55,4
65,55,5
66,55,6
67,66,1
68,66,2
69,66,3
70,66,4
71,66,5
72,66,6
73,66,7
74,170,1
75,170,2
76,170,3
77,170,4
78,170,5
79,171,1
80,171,2
81,171,3
82,171,4
83,171,5
84,171,6
85,171,7
86,171,8
87,171,9
88,179,1
89,179,2
90,179,3
91,179,4
92,179,5
93,179,6
94,2,1
95,2,2
96,2,3
97,2,4
98,2,5
99,2,6
100,9,1
101,9,2
102,9,3
103,9,4
104,9,5
105,9,6
106,27,1
107,27,2
108,27,3
109,27,4
110,27,5
111,27,6
112,27,7
113,70,1
114,70,2
115,70,3
116,70,4
117,70,5
118,70,6
119,70,7
120,89,1
121,89,2
122,89,3
123,89,4
124,89,5
125,89,6
126,89,7
127,89,8
128,89,9
129,5,1
130,5,2
131,5,3
132,5,4
133,5,5
134,14,1
135,14,2
136,14,3
137,14,4
138,14,5
139,14,6
140,14,7
141,17,1
142,17,2
143,17,3
144,17,4
145,17,5
146,17,6
147,20,1
148,20,2
149,20,3
150,20,4
151,20,5
152,20,6
153,20,7
154,23,1
155,23,2
156,23,3
157,23,4
158,23,5
159,23,6
160,33,1
161,33,2
162,33,3
163,33,4
164,33,5
165,33,6
166,33,7
167,33,8
