id,name,rank,country
1,HIR180,Legendary Grandmaster,Japan
2,9623,Master,Antarctica
3,stasio6,International Master,Poland
4,sigma425,International Grandmaster,Japan
5,jiangly,Legendary Grandmaster,China
6,Lawali,International Master,South Korea
7,kmjp,International Grandmaster,Japan
8,cerberus97,International Grandmaster,India
9,boboniu,Legendary Grandmaster,
10,nuip,International Grandmaster,Japan
11,ShadowLight,Grandmaster,Russia
12,SangSangDoMotHanJungChe,Master,South Korea
13,KrK,Grandmaster,Lithuania
14,I_love_Nikaidou_Shinku,Master,
15,saketh,International Grandmaster,United States
16,risujiroh,Grandmaster,Japan
17,eriksuenderhauf,Master,Germany
18,Ashishgup,International Master,India
19,yusufsholeh,Master,Indonesia
20,yuma_,Grandmaster,
21,Shayan,Grandmaster,Iran
22,ipaljak,Candidate Master,Croatia
23,QiyangAKIOI,Expert,
24,INVWVZ,Candidate Master,Iran
25,kek1234,Master,
26,receed,International Grandmaster,Russia
27,neal,International Grandmaster,United States
28,TadijaSebez,International Grandmaster,Serbia
29,rainbow_tree,International Master,
30,RUSH_D_CAT,International Master,China
31,Navick,Master,Iran
32,kr_abhinav,Master,India
33,gllonkxc,Candidate Master,China
34,MathAlex,Master,Russia
35,DQS,Master,China
36,zxyl,Candidate Master,Canada
37,leaf1415,Grandmaster,Japan
38,betrue12,Grandmaster,Japan
39,YaoQi,Candidate Master,
40,wiwitrifai,International Grandmaster,Indonesia
41,halfblindprince,Master,Bangladesh
42,Marckess,Grandmaster,Mexico
43,_smhx,Candidate Master,Canada
44,omochan,Candidate Master,Japan
45,user202729_,International Grandmaster,
46,RedNextCentury,Grandmaster,Syria
47,beginend,Grandmaster,China
48,MAOoo,Grandmaster,China
49,tob123,Grandmaster,Germany
50,Makcum888,Master,Russia
51,mibler,Candidate Master,Russia
52,misael,Master,Brazil
53,drastogi21,Candidate Master,India
54,little_misfortune,Master,
55,liouzhou_101,Master,China
56,Danylo99,Grandmaster,Ukraine
57,ArnoldBoczek,Master,
58,lmtdora2004,Master,Japan
59,danya090699,International Master,Russia
60,FO_OH,Master,
61,AleksanderBalobanov,Master,Russia
62,aayush9,Master,India
63,RednaxelAlanrete,Master,
64,atacan,Master,Turkey
65,Infinityedge,Master,China
66,Roundgod,International Grandmaster,China
67,112,Master,Russia
68,changle_cyx,Master,China
69,atodo,Candidate Master,Romania
70,smartnj,Candidate Master,India
71,ZZZZZZZZZZZZZZZZZZ,Grandmaster,China
72,Umi,Grandmaster,Japan
73,Fekete,Candidate Master,Ukraine
74,ei133333,Master,Japan
75,darked,Master,
76,pootis,Expert,
77,Zoli9,Master,Hungary
78,RedTea,Master,China
79,kongroo,Master,China
80,OmegaLUL229,Master,Russia
81,Medeowex,Grandmaster,Jordan
82,Linkus,Master,Poland
83,pekempey,Grandmaster,Japan
84,codeveloppy,Expert,
85,teest123321,Expert,Egypt
86,Daryusz,Candidate Master,Belarus
87,.____.,Expert,Vietnam
88,KoalaMu,Master,
89,Tima,Master,Kazakhstan
90,PlayWithWind,Candidate Master,China
91,298iq,Expert,
92,AuSquare,Expert,China
93,Potassium,Grandmaster,
94,toxic_hack,Master,India
95,Graphter,Candidate Master,Peru
96,_no0B,Candidate Master,Bangladesh
97,jakob_nogler,Candidate Master,Italy
98,lajiyuan,Candidate Master,China
99,SendThemToHell,Grandmaster,Russia
100,ZieiN,Candidate Master,Syria
101,Alex_Wei,Grandmaster,China
102,antguz,Candidate Master,Poland
103,racsosabe,Master,Peru
104,ysxxj2,Master,China
105,shivammittal99,Expert,India
106,Sherlock221B,Candidate Master,Bangladesh
107,fusillade,Candidate Master,
108,Andreasyan,International Master,Armenia
109,YouKn0wWho,Master,Bangladesh
110,amitgomi,Candidate Master,India
111,Mobius_Fn,Expert,
112,ouaan,Candidate Master,Falkland Islands
113,kanbe_kotori,Candidate Master,China
114,IgoRamli,Candidate Master,Indonesia
115,Kotoblepass,Candidate Master,Russia
116,arnold518,International Master,South Korea
117,emthrm,International Master,Japan
118,baluteshih,International Master,Taiwan
119,DeinFreund,Candidate Master,Switzerland
120,Liah0530,"Unrated,",
121,HCPS42,Candidate Master,Kazakhstan
122,Unsterblicher_Geist,Grandmaster,
123,Sodaine,Candidate Master,China
124,sshs18102,Candidate Master,South Korea
125,Byzantium,Master,
126,andrew,Grandmaster,
127,Lgq_3de5,Master,China
